latitude;longitude;ID del bene;Descrizione;Confiscato;Immagine;Mq;Estremi Decreto di confisca da suddividere in sottocampi (data, ecc.);Estremi provvedimento di sequestro ;Estremi provvedimento di destinazione da suddividere in sottocampi (data, numero protocollo, ecc.);Estremi verbale di consegna da suddividere in sottocampi (data, ecc.);Numero del procedimento;Numero delle sentenza definitiva;Assegnato;Tipologia bene confiscato  (appartamento,  terreno agricolo, villa, altro);Condizioni attuali del bene (cattive, normali, buone);Abusivo;Occupato;Accessibilità al bene  (buona, sufficiente, scarsa);Valore;Eventuali altre criticità;Gestore;Telefono;E-mail;Indirizzo Gestore;Durata dell’atto di concessione (numero di giorni);Assegnazione;Riutilizzo;Allegato opzionale con descrizione del progetto (ad esempio il PDF che racconta il progetto);Data compilazione scheda (campo automatico che viene valorizzato con la data di compilazione della scheda);Nome e ruolo di chi compila la scheda (campo che viene valorizzato in automatico all'accesso dell'utente che compilerà la scheda, e che è associato ad un'anagrafica completa dell'utente);Foglio;Particella;Subalterno;Indirizzo;Note;;;;;;;;
37,979139;12,954397;Informazione non Recuperata;Appartamento;Informazione non Recuperata;;172;Decreto N. 152/82 R.M.P. emesso in data 24-27.4.1984 dal Tribunale di Trapani - Sezione Misure di Prevenzione, confermato dalla Corte di Appello di Palermo in data 15.1.1985 e divenuto definitivo in data 5.1.1987 con sentenza della Corte di Cassazione  in data 18.2.1986;Informazione non Recuperata;Prot. n. 11046 del 5.4.2004;Verbale del 12.11.2003;Informazione non Recuperata;Informazione non Recuperata;Si;Appartamento;Buone;No;Si;Buona;64557,11;nessuna;"Associazione ""Villa Letizia Onlus""";0924 505150;Informazione non Recuperata;Informazione non Recuperata;2190 (scade il 3.2.2017);Assegnazione diretta - convenzione  approvata con delibera di giunta n. 373 del 7.12.2010 rep. 8879 registrata ilò 3.2.2011 n.- 45 serie 1;Attività di rieducazione e ribilitazione soggetti in situazione di handicap psico fisico;Informazione non Recuperata;25/09/2015;;124;1247;14;Via del Carroccio n. 17-17 Scala B Interno 4 Piano 2°;;;;;;;;;
37,980461;12,965357;Informazione non Recuperata;Appartamento;Informazione non Recuperata;;70;Decreto n. 141/1982 R.M.P. emesso in data 23.7.1984 dal Tribunale di Trapani - Sezione Misure di Prevenzione, confermato con Decreto  in data 22.1.1985 dalla Corte di Appello di Palermo e divenuto definitivo in data 15.5.1985 e dichiarato parzialmente inefficace con Decreto del medesimo Tribunale n. 141/1982 R.M.P. del 18.11.1996divenuto a sua volta definitivo il 24.4.1998 ;Informazione non Recuperata;Prot.  n. 62404 del 9.10.200;Verbale del 5.4.2001;Informazione non Recuperata;Informazione non Recuperata;Si;Appartamento;Buone;No;Si;Buona;70;"Ristrutturazione finanziata con fondi PON sicurezza  per lo sviluppo del mezzogiorno d'Italia 2000-2006 Misura II.1 e Misura II.3 ""Le Saline""";Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Gestito direttamente del Comune di Alcamo - Centro polivalente di cultura  ed informazione  della legalità;Attività Istituzionale;Informazione non Recuperata;25/09/2015;;127;27;6;Via Alessandro Volta n. 18 Piano I°;;;;;;;;;
37,980903;12,965481;Informazione non Recuperata;Appartamento di cui il piano terra è costituito da 2 vani e da accessori per mq 72, mentre il piano ammezzato con vano e camerino occupa una superfice di mq 39;Informazione non Recuperata;;111;Decreto n. 141/1982 R.M.P. emesso in data 23.7.1984 dal Tribunale di Trapani - Sezione Misure di Prevenzione, confermato con Decreto  in data 22.1.1985 dalla Corte di Appello di Palermo e divenuto definitivo in data 15.5.1985 e dichiarato parzialmente inefficace con Decreto del medesimo Tribunale n. 141/1982 R.M.P. del 18.11.1996divenuto a sua volta definitivo il 24.4.1998 ;Informazione non Recuperata;Prot.  n. 62404 del 9.10.200;Informazione non recuperata;Informazione non Recuperata;Informazione non Recuperata;Si;Appartamento;Buone;No;Si;Buona;111000;"Ristrutturazione finanziata con fondi PON sicurezza  per lo sviluppo del mezzogiorno d'Italia 2000-2006 Misura II.1 e Misura II.3 ""Le Saline""";Società consortile G.A.L. del Golfo;0924 26090;gal.golfodicastellammare@gmail.com] [info@galgolfodicastellammare.it];Via Porta Stella, 47/49 91011 - Alcamo (TP);2190 (scade il 28.1.2018);Assegnazione diretta - bene affidato con D.G. n. 362 del 22.12.2011 - Convenzione di affidamento per fini istituzionali: N. rep. 8964 registrato a Trapani il 24.1.2012 N. 51 serie I;Attività Istituzionale ;Informazione non Recuperata;25/09/2015;;124; 26 e 28;part.lla 26 sub1 e 28 sub 1;Via Porta Stella n. 41-43 Piano terra e piano 1°;, ;;;;;;;;
37,980463;12,965767;Informazione non Recuperata;Appartamento che occupa una superfice di mq 23 a piano terra  oltre mq 14  a piano ammezzato ;Informazione non Recuperata;;37;Decreto n. 141/1982 R.M.P. emesso in data 23.7.1984 dal Tribunale di Trapani - Sezione Misure di Prevenzione, confermato con Decreto  in data 22.1.1985 dalla Corte di Appello di Palermo e divenuto definitivo in data 15.5.1985 e dichiarato parzialmente inefficace con Decreto del medesimo Tribunale n. 141/1982 R.M.P. del 18.11.1996divenuto a sua volta definitivo il 24.4.1998 ;Informazione non Recuperata;Prot.  n. 62404 del 9.10.200;Informazione non recuperata;Informazione non Recuperata;Informazione non Recuperata;Si;Appartamento;Buone;No;Si;Buona;37000;Nessuna;Centro Antiviolenza Associazione Le Pleiadi;3661145218;Informazione non Recuperata;Informazione non Recuperata;2.190 (scade il 22.3.2018);Assegnaizone diretta - bene affidato con D.G. n. 2 del 9.1.2012 Concenzione affidamento fini sociali N. rep. 8974 , registrato a Trapani il 22.3.2012 N. 199 Serie I;Centro Ascolto Antiviolenza sulle Donne;Informazione non Recuperata;25/09/2015;;124;26;9;Via XI Febbraio n. 5 Piano Terra;;;;;;;;;
37,980566;12,965768;Informazione non Recuperata;Appartamento a quattro elevazione fuori terra;Informazione non Recuperata;;57;Decreto n. 141/1982 R.M.P. emesso in data 23.7.1984 dal Tribunale di Trapani - Sezione Misure di Prevenzione, confermato con Decreto  in data 22.1.1985 dalla Corte di Appello di Palermo e divenuto definitivo in data 15.5.1985 e dichiarato parzialmente inefficace con Decreto del medesimo Tribunale n. 141/1982 R.M.P. del 18.11.1996divenuto a sua volta definitivo il 24.4.1998 ;Informazione non Recuperata;Prot.  n. 62404 del 9.10.200;Informazione non recuperata;Informazione non Recuperata;Informazione non Recuperata;Si;Appartamento;Buone;No;No;Buona;104143,53;Nessuna;Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;attività istituzionale - Uffici comunali;Informazione non Recuperata;25/09/2015;;124;35;1,2;Via XI Febbraio n. 14,16,18;;;;;;;;;
37,979539;12,948659;Informazione non Recuperata;Lotti di terreni destinati alla pubblica viabilità  e parcheggio pubblico (Via Girolamo Giardina);Informazione non Recuperata;;540;Decreto N. 102/95 R.M.P. emesso in data 4.5.1999-21.2.2000 del Tribunale di trapani sezione misure di Prevenzione, confermato dalla Corte di Appello di Palermo con Decreto N. 102/2000 R.R.M.P. dell'1.12.2000 e divenuto irrevocabile in data 11.7.2002 a seguito di ordinanza della Corte di Cassazione ;Informazione non Recuperata;Prot.  N. 38191 del 25.11.2004;Verbale del 13.1.2005 ;Informazione non Recuperata;Informazione non Recuperata;No;Terreni;Buone;No;No;Buona;Informazione non Recuperata;"Gli immobili in argomento  sono costituiti da sei piccoli appezzamenti di terreno facente parte della p.lla originaria confiscata n 387 del foglio 40, ora catastalmente identificati dalle part.lle con relativa destinaizone per finalità istituzionali come segue: Part. 387, 778 e 776 destinata a viabilità; part.lla n. 777 da destinare a parcheggio pubblico; part.lla n. 779 da destinare a zona libera a margine stradale per piantumaizone di essenze arboree ad uso pubblico; part.lla 742 da destinare a collettore fognario;";Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;25/09/2015;;40;387,778,776,777,779,742;;Via Girolamo Giardina già C.da Stazzone S. Ippolito;Nella mappa è espresso un punto indicativo;;;;;;;;
37,976741;12,962941;Informazione non Recuperata;Fabbricato composto da quattro piani fuori terra sito nella via Silvio Tornamira n. 27, 27/A e 29 consistente in un appartamento a piano terra, con accesso anche dalla via Gibilrossa N. 28, di mq 64 circa con magazzino di mq 13 circa, in un altro appartamento al primo piano di mq 91 circa, in un vano allo stato grezzo posto al secondo piano di circa mq 91, ed in una unità abitativa di mq 66 circa posto al piano terzo.;Informazione non Recuperata;;325;Decreto N. 52/95 R.M. trib. n. 8/98 R.E. emesso in data 13/1- 3/4/1998 dal tribunale di Trapani Sezione Penale, divenuto irrevocabilie con ordinanza della Suprema Corte di Cassazione in data 17.3.1999;Informazione non Recuperata;Prot. n.  21225 del 9.6.2008;Verbale di consegna del 27.6.2008;Informazione non Recuperata;Informazione non Recuperata;Si;Appartamento;Buone;No;No;Buona;254000;Sono in corso lavori edili finalizzati alla  realizzazione di locali per servizi di Pronto Soccorso Sociale (Ristoro e accoglienza). Al collaudo dei lavori si provvederà a stipulare atto di concessione in favore del soggetto aggiudicatario (Associaizone Momenti Sociali ONLUS);Associazione Momenti Sociali ONLUS;0924 500102;Informazione non Recuperata;125 Via S. Maria Riposo, Alcamo, TP 91011;Informazione non Recuperata;Assegnazione diretta con delibera di giunta  n. 254 del 13.8.2013;Progetto innovativo di Pronto soccorso sociale;Informazione non Recuperata;25/09/2015;;54;1001;2,3,4 e 5;Via Silvio Tornamira n. 27, 27/A e 29, accessibile anche dalla via Gilbirossa n. 28;;;;;;;;;
37,972638;12,961248;K_ bene 1824;Fabbricato a quattro elevazioni fuori terra , oltre l'attico;Informazione non Recuperata;;444;Decreto N. 144/82 R.M.P., emesso in data 24-27 aprile 1964 dal Tribunale di Trapani - Sezione Misure di prevenzione, confermato dalla Corte di Appello di Palermo in data 21.1.1985 e divenuto irrevocabile  in data 17. 2.1986 a seguito di sentenza della Corte di Cassazione;Informazione non Recuperata;Prot. n. 1607 del 1.2.2012;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Si;Appartamento;Buone;No;Si;Buona;Informazione non Recuperata;"La part.lla 2429 sub 3 e 4 è stata affidata all'associazione Momenti sociali ONLUS"" per la realizzaizone del progetto ""Centro antiviolenza e casa di accoglienza"", mentre la particella 2429 sub 1 2 risulta non assegnata.";Associazione Momenti Sociali ONLUS;0924 500102;;125 Via S. Maria Riposo, Alcamo, TP 91011;Informazione non Recuperata;Assengnazione diretta con delibera di G.M. n 153 del 6.5.2014;Informazione non recuperata;Informazione non Recuperata;25/09/2015;;54;2949;1,2;Via Benedetto Croce angolo via Virgilio;;;;;;;;;
37,980262;12,976544;Informazione non recuperata;Terreno agricolo costituente un filtro tra le aree intensamente urbanizzate e le aree agricole produttive;Informazione non Recuperata;;3305;Decreto n. 144/82 R.M.P., emesso in data 24-27 aprile 1964 dal Tribunale di Trapani - Sezione Misure di prevenzione, confermato dalla Corte di Appello di Palermo in data 21.1.1985 e divenuto irrevocabile  in data 17. 2.1986 a seguito di sentenza della Corte di Cassazione;Informazione non Recuperata;Prot. n. 21229 del 12.6.2008;Verbale di consegna del 27.6.2008;Informazione non Recuperata;Informazione non Recuperata;No;Terreno agricolo;Buone;No;No;Buona;5600;Il terreno è destinato ad essere utilizzato  nel rispetto del PRG. L'ubicazione del terreno non consente ad oggi un efficace utilizzo.;Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;25/09/2015;;44;626,628,631;non indicato;C.da Crocicchia;Nella mappa è espresso un punto indicativo;;;;;;;;
37,966206;12,968065;K_ bene 1000;Terreni Agricoli;Informazione non Recuperata;;2250;Decreto n. 117/93 R.M.P. emesso in data 14.3- 26.6.1995 dal tribunale di Trapani sezione id misure di prevenzione confermato con Decreto N 143/93 - 131/95 A.R.M.P. della Corte di Appello di Palermo in data 15.2.1996, divenuto definitivo in data 10.10.1996 a seguito di sentenza della Corte di Cassazione e rettificato con provvedimento n. 45 del 2005 del 15.3.2005 e N. 77/2007 del 22-23-2.2007;Informazione non Recuperata;Prot. n. 21227 del 25.6.2008;Verbale di consegna del 27.6.2008;Informazione non Recuperata;Informazione non Recuperata;No;Terreni;Buone;No;No;Buona;Informazione non Recuperata;Il terreno è destinato ad essere utilizzato  nel rispetto del PRG. L'ubicazione del terreno non consente ad oggi un efficace utilizzo.;Non Assegnato;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Informazione non Recuperata;Non Assegnato;Non Assegnato;Informazione non Recuperata;25/09/2015;;71;835,836,837,878 e 879;non indicato;Tutte le particelle risultano prospicenti sulla via Vittorini - C.da Montagna;Nella mappa è espresso un punto indicativo;;;;;;;;
