latitude;longitude;ID del bene;Descrizione;Confiscato;Immagine;Mq;Estremi decreto di confisca da suddividere in sottocampi (data, ecc.);Estremi provvedimento di sequestro ;Estremi provvedimento di destinazione da suddividere in sottocampi (data, numero protocollo, ecc.);Estremi verbale di consegna da suddividere in sottocampi (data, ecc.);Numero del procedimento;Numero delle sentenza definitiva;Assegnato ;Tipologia bene confiscato  (appartamento,  terreno agricolo, villa, altro);Condizioni attuali del bene (cattive, normali, buone);Abusivo;Occupato;Accessibilità al bene  (buona, sufficiente, scarsa);Valore;Eventuali altre criticità;Gestore;Telefono;E-mail;Indirizzo Gestore;Durata dell’atto di concessione (numero di giorni);Assegnazione;Riutilizzo;Allegato opzionale con descrizione del progetto (ad esempio il PDF che racconta il progetto);Data compilazione scheda (campo automatico che viene valorizzato con la data di compilazione della scheda);Nome e ruolo di chi compila la scheda (campo che viene valorizzato in automatico all'accesso dell'utente che compilerà la scheda, e che è associato ad un'anagrafica completa dell'utente);Foglio;Particella;Subalterno;Indirizzo;;longitutinde;Note;;;;;;;;;
37,66492;12,885997;Informazione non Recuperata;Terreno con annesso fabbricato rurale ;Informazione non Recuperata;;323,16;Informazione non Recuperata;N. 2353/97 R.G. G.I.P. - N. 1861/97 PM Tribunale di Palermo;Decreto del 16.04.1999 Rep. 30529; Consegnato formalmente al Comune con verbale del 18.05.1999 – DELIBERA DI G.M. N. 287 DEL 27.6.2000;N. 2353/97 GIP – N. 1861/97 PM;N. 588/97 BIS DEL 6.6.1997 Tribunale di Palermo;Consegnato alla Casa de Giovani con verbale del 29.06.2000. Contratto di comodato stipulato il 30.01.2004;Terreno agricolo con annesso fabbricato rurale ;Informazione non Recuperata;No;Si;Buona;671393,97;Nessuna;Comunità Terapeutica Casa dei Giovani ONLUS;+39 091903068;casadeigiovani@tin.it - casadeigiovani@legpec.it;Corso Umberto I n. 65 Bagheria;7300;Assegnazione diretta - Consegnato alla Casa de Giovani con verbale del 29.06.2000. Contratto di comodato stipulato il 30.01.2004;Recupero e riabilitazione tossicodipendenti;Informazione non Recuperata;20/07/15;;79;n.3, 18, 79, 89 e 131 (la part.lla 131 è stata soppressa dando origine alle part.lle 156, 157);;C.da Zangara;;12,885718;nella mappa è espresso un punto indicativo;;;;;;;;;
37,628557;12,848468;Informazione non Recuperata;Terreno con annesso fabbricato rurale ;Informazione non Recuperata;;118,226;Informazione non Recuperata; N. 94/90 REG. GEN Tribunale di Palermo;Decreto n. 32267 del 20.11.1998 Ministero delle Finanze – Direzione Centrale del Demanio - ;Consegnato formalmente al Comune con verbale del 21.12.1998;N. 90/94 REG. GEN;Provvedimento definitivo della Suprema Corte di Cassazione del 13.2.1997 che ha confermato il provvedimento di confisca disposto prima dal Tribunale di Palermo con sentenza  del 18.12.1990 n. 4464, e dopo dalla Corte di Appello di Palermo con sentenza del 11.3.1994 n. 516;Consegnato alla Casa dei Giovani con verbale del 16.02.1999. Contratto di comodato stipulato il 30.01.2004 – Delibera n. 3 del 7.1.2004;Terreno agricolo con annesso fabbricato rurale ;Informazione non Recuperata;No;Si;Buona;438988,36;Nessuna;Comunità Terapeutica Casa dei Giovani ONLUS;+39 091903068;casadeigiovani@tin.it -  casadeigiovani@legpec.it;Corso Umberto I n. 65 Bagheria;5475;Assegnazione diretta - Consegnato alla Casa dei Giovani con verbale del 16.02.1999. Contratto di comodato stipulato il 30.01.2004 – Delibera n. 3 del 7.1.2004;Recupero e riabilitazione tossicodipendenti;Informazione non Recuperata;20/07/15;;123;n.34, 35, 36, 37, 38, 39, 41, 42, 98, 129, 130, 167, 168, 169, 170, 171, 196, 197, 198, 199, 256, 257;;C.da Latomie – Pireto;;12,847845;nella mappa è espresso un punto indicativo;;;;;;;;;
37,63055;12,846039;Informazione non Recuperata;Terreno con annesso fabbricato rurale ;Informazione non Recuperata;;36,47;Decreto N. 41/92 R.M.P. Emesso in data 10.6.1993 dal tribunale di Trapani;Informazione non Recuperata;Decreto N. 29205 del 25.7.2013 Agenzia del Demanio – Direzione centrale beni confiscati – Direzione gestione beni confiscati - ;Consegnato formalmente al Comune con verbale del 26.09.2003;Informazione non Recuperata;Informazione non Recuperata;Concesso in gestione alla Fondazione San Vito Onlus in data 13.03.2006 – Delibera di G.M. n. 5 del 9.1.2006;Terreno agricolo con annesso fabbricato rurale ;Informazione non Recuperata;No;Si;Buona;62380;Nessuna;Fondazione San Vito ONLUS;+39 09231892652;fondazionesanvito@tiscali.it ;Piazza della Repubblica n. 6 Mazara del Vallo;7300;Assegnazione diretta – Concesso in gestione alla Fondazione San Vito Onlus in data 13.03.2006 – Delibera di G.M. n. 5 del 9.1.2006;Recupero tossicodipendenti e contrasto di devianza sociale ;Informazione non Recuperata;20/07/15;;154;n. 190, 76;Part. 76 sub 1; C.da Pileri (Latomie-Buffa);;12,848907;nella mappa è espresso un punto indicativo;;;;;;;;;
37,634868;12,879678;Informazione non Recuperata;Terreno con annesso fabbricato rurale ;Informazione non Recuperata;;173,453;Decreto N. 37/94 R.M.P. Emesso in data 19.2.1999 e dep. Il 3.3.1999 dal tribunale di Trapani, parzialmente confermato con decreto N. 87/1999 R.R.M.P. Della Corte di Appello di Palermo Sez. V in data 27.11.2000 dep. 30.6.2001, divenuto irrevocabile in data 29.1.2002 a seguito di Ordinanza della Corte di Cassazione ;Informazione non Recuperata;Decreto N. 13049 del 26.3.2003 Agenzia del Demanio – Direzione centrale beni confiscati – Direzione gestione beni confiscati - ;Consegnato formalmente al Comune con verbale del 26.09.2003. ;Informazione non Recuperata;Informazione non Recuperata;Consegnato alla Casa dei Giovani con verbale del 25.11.2003. Contratto di comodato il 30.01.2004- Delibera di Giunta N. 534 del 15.10.2003;Terreno agricolo con annesso fabbricato rurale ;Informazione non Recuperata;No;Si;Buona;444294,5;Nessuna;Comunità Terapeutica Casa dei Giovani ONLUS;+39 091903068;casadeigiovani@tin.it -  casadeigiovani@legpec.it;Corso Umberto I n. 65 Bagheria;7300;Assegnazione diretta - Consegnato alla Casa dei Giovani con verbale del 25.11.2003. Contratto di comodato il 30.01.2004- Delibera di Giunta N. 534 del 15.10.2003;recupero e riabilitazione tossicodipendenti;Informazione non Recuperata;20/07/15;;129 – 128;"Foglio 129 n. 16,33,8,9,18,6,34; Foglio 128 n. 100,101,35,22,42,43";;C.da Dimina;;12,879678;nella mappa è espresso un punto indicativo;;;;;;;;;
37,670001;12,82575;Informazione non Recuperata;Terreno con annessi fabbricati rurali;Informazione non Recuperata;;272,4;Decreto N. 61/83 R.M.P. emesso dal tribunale di Trapani Sez. Misure di Prevenzione, confermato dalla Corte di Appello di Palermo con decreto N. 89/2000 R.R.M.P., divenuto definitivo in data 5.2.2002 a seguito di ordinanza della Corte di Cassazione;Informazione non Recuperata;Decreto n. 43919 del 04.12.2003 Agenzia del Demanio – Direzione centrale beni confiscati – Direzione gestione beni confiscati - ;Consegnato Casa dei Giovani con verbale del 08.06.2004. Contratto di comodato stipulato il 19.05.2004- Deliberazione della G.M. n. 172 del 28.4.2004;Informazione non Recuperata;Informazione non Recuperata;Consegnato Casa dei Giovani con verbale del 08.06.2004. Contratto di comodato stipulato il 19.05.2004- Deliberazione della G.M. n. 172 del 28.4.2004;Terreno con annessi fabbricati rurali;Informazione non Recuperata;No;Si;Buona;569184,4;Nessuna;Comunità Terapeutica Casa dei Giovani ONLUS;+39 091903068;casadeigiovani@tin.it -  casadeigiovani@legpec.it;Corso Umberto I n. 65 Bagheria;7300;Assegnazione diretta - Consegnato Casa dei Giovani con verbale del 08.06.2004. Contratto di comodato stipulato il 19.05.2004- Deliberazione della G.M. n. 172 del 28.4.2004;Recupero e riabilitazione tossicodipendenti;Informazione non Recuperata;20/07/15;;57 – 6 – 102;Foglio n. 57 part.lle n.1-2, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 18, 23, 24, 25, 28, 29, 35, 39, 67, 111 Foglio n.6 part.lle n. 14, 26, 57, 58, 59, 60, 61, 163, 164 Foglio n.102 part.lle n.36, 37, 51, 72, 73, 74 ;;C.da Seggio e C.da Fartaso;;12,826705;nella mappa è espresso un punto indicativo;;;;;;;;;
37,698884;12,792146;Informazione non Recuperata;Terreno ;Informazione non Recuperata;;51;Informazione non Recuperata;Informazione non Recuperata;Decreto n. 14721 del 26.10.2006 Agenzia del Demanio – Direzione Generale a parziale modifica del Decreto N. 20814 del 14.6.2004;Consegnato formalmente al Comune con verbale del 14.07.2004.;N. 139/98 R.G. Tribunale di Palermo;Sentenza  del GIP presso il Tribunale di Palermo emessa in data 6.6.1997, divenuta irrevocabile in data 7.6.1999;Gestito direttamente dal Comune;Terreni;Buone;No;Si;Buona;1575193,54;Nessuna;Comune di Castelvetrano;+39 0924909111;Informazione non Recuperata;Piazza Umberto I n. 1;Informazione non Recuperata;Gestito direttamente dal Comune ;Sede degli uffici comunali e Commissariato di Polizia e Guardia di Finanza;Informazione non Recuperata;20/07/15;;35;Foglio n. 35 part.lla n.152 frazionato nelle part.lle n. 370, 371, 372, 373, 374, 375, 376, 377. La part.lla n.307 è stata soppressa dando origine alle part.lle n.420, 423. La part.lla n.372 è stata soppressa dando origine alla part.lla n.404. La part.lla n.374 è stata soppressa dando origine alla part.lla 435;;C.da Giallonghi;;12,792189;nella mappa è espresso un punto indicativo;;;;;;;;;
37,682542;12,79568;Informazione non Recuperata;Fabbricato Immobile Urbano;Informazione non Recuperata;;258;Decreto n. 17/82 M.P. - N. 3/87 R.M.P. Emesso in data 8.2.1988 e depositato il 15.2.1988 dal Tribunale di Agrigento, parzialmente riformato dalla Corte di Appello di Palermo Sez. VI Misure di Prevenzione con decreto N. 23/1988 R.R.M.P e divenuto definitivo in data 10.3.1993 a seguito della sentenza della Corte di Cassazione. ;Informazione non Recuperata;Decreto n. 30817 del 30.9.2004 Agenzia del Demanio – Direzione Generale ;Consegnato formalmente al Comune con verbale del 09.11.2004.;Informazione non Recuperata;Informazione non Recuperata;L'immobile è destinato a sede del Consorzio Trapanese per la Legalità e lo sviluppo e a  sede di uffici di protezione civile e dell'Ass. Libera. Associazioni, nomi e nuemri contro le mafie;Fabbricato Urbano;Buone;No;Si;Buona;43660;Nessuna;Consorzio Trapanese per la Legalità e Sviluppo;Informazione non Recuperata;Informazione non Recuperata;Via Frà Serafino Mannone n. 124;Informazione non Recuperata;Assegnazione diretta;Sede Consorzio Trapanese per la Legalità e lo sviluppo – Sede uffici di protezione civile e dell'associazione Libera;Informazione non Recuperata;20/07/15;;181;n.181 – 182 – 183;"n.181 sub 1,2, e 3; n. 182 sub 4 (non esiste); 183 sub 2 e 3";Via Frà Serafino Mannone n. 124;;12,79568;;;;;;;;;;
37,58323;12,827044;Informazione non Recuperata;Terreno con annesso fabbricato rurale ;Informazione non Recuperata;;33,86;Decreto di confisca N. 36/02 R.M.P. Emesso dal Tribunale di Trapani il 17.01.2002, divenuto definitivo in data 21.4.2004 con sentenza della suprema corte di Cassazione;Informazione non Recuperata;Decreto n. 35480 del 19.09.2007 Agenzia del Demanio;Consegnato al Comune di Castelvetrano con verbale del 14.11.2007;Informazione non Recuperata;Informazione non Recuperata;Atto di concessione stipulato in data 18.12.2007 in favore della coop. sociale Girasole e del Cresm;Terreno acon annesso fabbricato rurale;Buone;No;Si;Buona;Non indicato;Nessuna;Cooperativa il Girasole  ;+39 3298379594;girasole.scs@libero.it;Viale Michelangelo n. 2315/H Palermo;7300;Assegnazione diretta - Atto di concessione stipulato in data 18.12.2007 – Delibera di G.M. n. 466 del 19.11.2014;Progetto di inclusione per persone con problemi di salute mentale;Informazione non Recuperata;20/07/15;;169;part.lle n.19, 304, 308, 309, 311, 316, 317, 318, 320, 323, 324, 325, 326, 347, 348, 372, 373, 374, 375,  313, 314 e 319;;C.da Manicalunga;;12,826591;nella mappa è espresso un punto indicativo;;;;;;;;;
37,582774;12,7988;Informazione non Recuperata;Fabbricato (Villetta) con terreno;Informazione non Recuperata;;"Terreno 100; Porticato  30; Piano I° 57 ; Veranda coperta 45";Decreto N. 32/84 R.M.P. Del Tribunale di Trapani Sez. Misure di Prevenzione confermato dalla Corte di Appello di Palermo e divenuto irrevocabile in data 23.9.1988 a seguito di ordinanza della Corte suprema di cassazione;Informazione non Recuperata;Decreto N. 12304 del 25.1.2008 Agenzia del Demanio;Consegnato formalmente al Comune con verbale del 17.4.2008 ;Informazione non Recuperata;Informazione non Recuperata;Atto di concessione in favore della Coop. Sociale Talendi ONLUS stipulato in data 9.2.2010;Fabbricato – Villetta;Buone;No;Si;Buona ;Non indicato;Nessuna;Cooperativa Sociale Talenti ONLUS;Informazione non Recuperata;talentionlus@libero.it;Via Gentile n. 5;5475;Assegnazione diretta - Atto di concessione in favore della Coop. Sociale Talendi ONLUS stipulato in data 9.2.2010;Centro Colonia estiva per minori disagiati;Informazione non Recuperata;20/07/15;;172;991;Part. 991 sub 1 e 2;C.da Triscina –  Manicalunga, Via  49 n. 50-52;;12,7988;;;;;;;;;;
37,664626;12,788086;Informazione non Recuperata;Terreno con annessi due fabbricati rurali sito in c/da Canalotto,gravato da una  servitù in favore della SNAM  per attraversamento metanodotto;Informazione non Recuperata;;64,556;Decreto N. 261/73 emesso in data il 25.11.1983 e depositato il 21.12.1983 dal Tribunale di Palermo Sez. I Misure di Prevenzione, confermato con provvedimento della Corte di Appello di Palermo e divenuto esecutivo in data 19.3.1985 a seguito di pronuncia della Corte di Cassazione;Informazione non Recuperata;Decreto N. 11939 del 20.3.2008 Agenzia del Demanio- Direzione generale – Area beni e veicoli confiscati;Consegnato formalmente al Comune di Castelvetrano con verbale del 27.5.2008 ;Informazione non Recuperata;Informazione non Recuperata;Assegnato alla Coop. Sociale Girasole con atto di concessione stipulato in data 17.11.2008, affidamento congiunto al CRESM con Convenzione del 25/11/2014 e verbale di consegna del 25/11/2014;Terreno con annessi due fabbricati rurali ;Informazione non Recuperata;No;Si;Informazione non Recuperata;223000;Nessuna;Cooperativa il Girasole  ;+39 3298379594;Informazione non Recuperata;Viale Michelangelo n. 2315/H Palermo;7300;Assegnazione diretta alla Cooperativa sociale Girasole con atto di concessione del 17.11.2008–  Affidamento congiunto al CRESM. Convenzione del 25/11/2014 e verbale di consegna del 25/11/2014 ;Attività di inclusione di persone con problemi di salute mentale;Informazione non Recuperata;20/07/15;;96;141,142,145,323,350,351 e 352 ( la part.lla 323 è costituita dalla particella 295 e variata di destinazione);;C.da Canalotto;;12,790286;nella mappa è espresso un punto indicativo;;;;;;;;;
