numero;Immobile;Decreto Ministeriale; Data;Foglio;Particella;Sub;Tipologia;Associazione assegnataria;Note;
1;Via Gambetta n 46;79223;03/12/1999;28;787;3;villetta;Uff  casa per alloggi di emergenza ;nessuna;
2;Villaggio cielo Azzurro- Baia dei Mori Vaccarizzo 4 strada – Via Gongola;72941;30/11/1999;68;1091;;villetta;;Da ristrutturare;
3;Via Nazario Sauro ang  V D  Chiesa;75519;30/11/1999;21;2102;10;appartamento ;;Riconsegnato sett  2013;
4;Via Nazario Sauro ang  V D  Chiesa;75519;30/11/1999;21;2102;1;appartamento ;Uff  casa per alloggi di emergenza ;nessuna;
5;Via Nazario Sauro ang  V D  Chiesa;79221;03/12/1999;21;2102;8;appartamento ;AVULSS  -  ONLUS;nessuna;
6;Via Randazzo 27;79225;03/12/1999;13;701;;appartamento ;ANVEZ;Non assegnabile ad usi civili  H  2 40 Revoca assegnazione  ott 2013;
7;Via Randazzo 27;79225;03/12/1999;13;716;1;giardino;ANVEZ;Non assegnabile ad usi civili  H  2 40 Revoca assegnazione  ott 2014;
8;Via Masaniello 4/a;75523;30/11/1999;28;2020;7;bottega;Ass  Siculo-Rumena;Da ristrutturare;
9;Via Anapo 16 – 18;76112;12/11/1999;17;118;17;magazzino;Comune di Catania;nessuna;
10;Via Anapo 16 – 18;76112;13/11/1999;17;117;12;magazzino;CT FIADDA ONLUS;nessuna;
11;Via Caprera 28/30;7521;18/11/1999; 69/Z;1421;;garage;;demolito;
12;Via Alfonzetti 73;49807;03/08/2000;69;16115;5;appartamento ;Centro aiuto alla vita;nessuna;
13;Via Monte S Agata 6;34908;21/10/2002;69;4532;17;appartamento ;Comune di Catania;vani 2;
14;Via Monte S  Agata 6;34908;21/10/2002;69;4532;14;appartamento ;Comune di Catania;vani 9;
15;Via Monte S  Agata 6;34908;21/10/2002;69;4532;15;appartamento ;Comune di Catania;vani 3 da ristrutturare;
16;Vill Delfino c daVaccarizzo Via Rombo;16197;02/05/2003;68;860;2;villetta;A U S L 3;nessuna;
17;Vill Delfino c daVaccarizzo Via Rombo;16197;02/05/2003;68;860;3;villetta;A U S L 3;nessuna;
17;Via Segusio ( are 530 );2538;06/03/2006;36;248;;Terreno mq  530 fabbricato  mq  70;Ass  Siculo-Rumena;nessuna;
18;Via F  Delpino 10 c da Zia Lisa        (are 535 );5494;22/02/2008;36;280;;terreno;Centro Astalli;nessuna;
19;Via F  Delpino 12 c da Zia Lisa deposito mq377;5494;22/02/2008;36;280;2;magazzino;Centro Astalli;nessuna;
20;Via Delpino 12 c da Zia Lisa  vani 5 mq  100;5494;22/02/2008;36;280;3;appartamento ;Centro Astalli;nessuna;
;Via F  Delpino 14 c da Zia Lisa  ;5494;22/02/2008;;;;garage mq 70;Centro Astalli;nessuna;
21;Via F  Delpino 14 c da Zia Lisa app  mq  117;5494;22/02/2008;36;280;4;magazzino;Centro Astalli;nessuna;
22;Via Delpino 12 c da Zia Lisa  vani 5 mq  100;5494;22/02/2008;36;280;5;lastrico solare;Centro Astalli;nessuna;
24;Via G Finocchiaro 112 p 6 app  mq100;41370;28/05/2009;16;179;24;appartamento ;Libera e AddioPizzo  ;nessuna;
25;Via Savasta 26/a p 1  S  (garage mq  11);9000720;14/10/2010;16;179;61;garage;Libera e AddioPizzo;nessuna;
26;Via P  Dell’ova133 p 1   (vani cat  5 );11511;2009;3;208;;appartamento ;Coop  Omega;nessuna;
27;Via P  Dell’Ova 137 p t  (vani cat  65);11511;2009;3;209;1;appartamento ;Coop  Omega;nessuna;
28;Via P  Dell’Ova 137 p  1 (vani cat  5);11511;2009;3;209;2;appartamento ;Coop  Omega;nessuna;
29;Via Tito Speri;33632;07/08/2009;28;1376;;Terreno  mq 262 circa;;nessuna;
30;Via Mannino Cifali  16;34691;06/11/2014;1;348;1;fabbricato;;nessuna;
31;Via Mannino Cifali  16;34691;06/11/2014;1;348;2;fabbricato;;nessuna;
32;Via Mannino Cifali  16;34691;06/11/2014;1;348;3;fabbricato;;nessuna;
33;Via Mannino Cifali  16;34691;06/11/2014;1;348;4;fabbricato;;nessuna;
34;Via Mannino Cifali  17;34691;06/11/2014;1;349;;terreno  Are 1100;;nessuna;
34;Via Mannino Cifali  17;34691;06/11/2014;1;353;;terreno  Are 1100;;nessuna;
35;Via Castello Ursino 35;25163;06/08/2014;695;689;1;Deposito + appartamento;;nessuna;
36;Via Castello Ursino 37;25163;06/08/2014;695;689;2;Deposito + appartamento;;nessuna;
